MAIN_TITLE,Labirintul lui Obama
DESC_NORMAL,Te trezești prins într-un labirint de cărămidă cu 7 bucăți de Obamium de colectat. Ai la tine o lanternă, o tabletă și un radio pe care le poți folosi, iar pe lângă acestea poți găsi pe jos capcane pe care le vei folosi pentru a-l încetini pe Obama. Odată ce găsești cele 7 bucăți de Obamium, caută ieșirea puternic luminată.
DESC_TUTORIAL,Bine ai venit in Labirintul lui Obama! Acesta este locul in care poți veni dacă ai vreo confuzie sau vrei să înveți.
DESC_FOREST,Ești blocat într-o pădure și trebuie să colectezi 7 bucăți de Obamium înainte să poți pleca. Ai la tine cele trei obiecte de început și ai grijă la apa care te va încetini.
DESC_ENDLESS,Ești blocat pentru totdeauna în Labirintul lui Obama, colectând cât mai multe bucăți de Obamium pentru a obține un scor cât mai mare. Acest labirint are un număr infinit de Obamium, dar labirintul este tot limitat.
DESC_NIGHTMARE,Bine ai venit în cel mai mare coșmar! Obama este mai rapid decât tine chiar dacă fugi, tableta este mai limitată, radioul are o rază mai mică, toată energia se scurge mai repede și ai grijă la corupție ...\n\n<color=red>Acest labirint nu se poate juca</color>
DESC_CORN,Bine ai venit la fermă! Va trebui să intri înăuntru și să începi labirintul pe un calculator. Doar o singură bucată de Obamium poate exista în labirint la un moment dat, așa că după ce ai colectat una, trebuie să găsești ieșirea din nou și să o depui în calculator. Porumbul poate fi distrus, dar asta îl va alerta pe Obama, iar acesta va veni la tine\n\n<color=red>Acest labirint nu se poate juca.</color>
MODE_DEBUG,MODE_DEBUG
DESC_DEBUG,DESC_DEBUG
WARN_DEBUG,stai departe!!! asta strică jocul... și este zona de lucru a lui Anthony
SIMPLE_DISABLED,Dezactivat
SIMPLE_ENABLED,Activat
SIMPLE_VERYHIGH,Foarte înalte
SIMPLE_HIGH,Înalte
SIMPLE_MEDIUM,Medii
SIMPLE_LOW,Mici
SIMPLE_FULLSCREEN,Ecran complet
SIMPLE_BORDERLESS,Fără margini
SIMPLE_WINDOWED,Fereastră
SIMPLE_OTHER,Altul
SETTINGS_VIDEO,Video
SETTINGS_GRAPHICS,Grafici
SETTINGS_WINDOWMODE,Modul de fereastră
SETTINGS_RESOLUTION,Rezoluție
SETTINGS_ASPECTRATIO,Raportul de aspect
SETTINGS_FRAMERATE,Framerate
SETTINGS_VSYNC,VSync
SETTINGS_DLSS,DLSS
SETTINGS_CRTFILTER,Filtru CRT
SETTINGS_TEXTUREQUALITY,Calitatea texturii
SETTINGS_TEXTUREFILTERING,Filtrarea texturii
SETTINGS_TEXTURESTEAMING,Streamingul texturii
SETTINGS_MODELQUALITY,Calitatea modelului
SETTINGS_MOTIONBLUR,Motion Blur
SETTINGS_LIGHTQUALITY,Calitatea luminii
SETTINGS_SHADOWQUALITY,Calitatea umbrei
SETTINGS_NORMALMAPS,Hărti reflective
SETTINGS_AA,Anti-Analyzing
SETTINGS_MIXER, Setări de sunet
SETTINGS_MASTER, Volum principal
SETTINGS_MUSIC, Volum muzică
SETTINGS_VOICES, Volumul vocilor
SETTINGS_SFX, Volumul efectelor de sunet
DESC_HEDGE, Bine ai venit la fermă! Va trebui să intri înăuntru și să începi labirintul pe un calculator. Doar o singură bucată de Obamium poate exista în labirint la un moment dat așa că după ce ai colectat una trebuie să găsești ieșirea din nou și să o depui in calculator. Porumbul se poate distruge, dar îl va alerta pe Obama, iar acesta va veni la tine\n\n<color=red>Acest labirint nu se poate juca.</color>
MODE_HEDGE, Labirintul de gard viu
EVENT_HOLIDAY, Eveniment de sărbătoare - Pistoale cu zăpadă
DESC_HOLIDAY, Tu și Obama vă puneți diferențele la o parte si aveți parte la o luptă cu pistoale de zăpadă! Îvinge-l pe Obama pentru a obține achivementul de sărbătoare.
MAIN_CREDITS,Credite
